Orgnummer; Name; Phone; Form; Bundet; BindningsTid
"SHORTEST PATH, AB";"5567799936";" 0703422675";"Jobbmobil Mix TFA 120924";"Nej";" "
"STUDERA MERA STOCKHOLM, AB";"5591488217";" 0705313633";"Jobbmobil Obegränsad";"Ja";"20220121"
"VISEM, AB";"5568290976";" 0702496960";"Jobbmobil Multi 60 GB MFA";"Ja";"20201216"
"VISEM, AB";"5568290976";" 0709152090";"Jobbmobil Multi 10 GB MFA";"Ja";"20220118"
"AIL DESIGN, AB";"5568690118";" 0767727901";"Jobbmobil Multi 1 GB TFA";"Nej";" "
"ANDERS GRANBERG I LULEÅ, AB";"5565137113";" 0705302040";"Jobbmobil Multi 30 GB MFA";"Ja";"20210112"
"BEPP MANAGEMENT, AB";"5568812977";" 0725598698";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210311"
"BEPP MANAGEMENT, AB";"5568812977";" 0702514636";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210304"
"BYKRAGH, AB";"5569674244";" 0709982035";"Telia Jobbmobil Multi 30 GB";"Ja";"20220515"
"C-G. KINDLUND EKONOMKONSULT, AB";"5561264952";" 0706273097";"Jobbmobil Multi 20 GB TFA";"Ja";"20210902"
"DIALOGUE SUSANNE, AB";"5590415559";" 0730963602";"Jobbmobil Obegränsad";"Ja";"20220811"
"DIANE ALARCON KIM ANDREASSON ADVISORY AB";"5568420649";" 0725024899";"Telia Kontantkort";"Nej";" "
"DIANE ALARCON KIM ANDREASSON ADVISORY AB";"5568420649";" 0725024993";"Telia Kontantkort";"Nej";" "
"ER KONSULT I TORSBY, AB";"5591103659";" 0738128220";"Telia Jobbmobil Multi 10 GB";"Ja";"20211015"
"ENÅSEN ELEKTRISKA, AB";"5591287346";" 0722153715";"Telia Jobbmobil Multi 120 GB";"Ja";"20211115"
"FA WELLNESS & CONSULTING, AB";"5568444797";" 0707338202";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210814"
"FALU FOREST, AB";"5568892334";" 0705979323";"Telia Jobbmobil Multi 60 GB";"Ja";"20220207"
"FAMILJEJURISTEN STINA FRIDLUND, AB";"5590382106";" 0727289078";"Jobbmobil 5 GB";"Ja";"20210822"
"JOHANSEN PRODUCTIONS, AB";"5565260535";" 0735224195";"Telia Jobbmobil Multi 30 GB";"Ja";"20210403"
"KONSULTHJÄRTAT, AB";"5569209264";" 0733766515";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20211008"
"MATTIAS GULLBERG KONSULT, AB";"5568990849";" 0709964908";"Jobbmobil 40 GB MFA";"Ja";"20230422"
"R Q PARTNER, AB";"5566473343";" 0705767417";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"R Q PARTNER, AB";"5566473343";" 0735345002";"Jobbmobil Multi 2 GB MFA";"Nej";" "
"R Q PARTNER, AB";"5566473343";" 0705089290";"Jobbmobil Multi 2 GB MFA";"Nej";" "
"Rolf Wicksells Maskiner, AB";"5563999118";" 0705871613";"Jobbmobil Multi 10 GB";"Ja";"20220724"
"Rolf Wicksells Maskiner, AB";"5563999118";" 0706227676";"Jobbmobil Multi 10 GB";"Ja";"20210830"
"Rolf Wicksells Maskiner, AB";"5563999118";" 0705871613";"Jobbmobil Multi 10 GB";"Ja";"20220724"
"STABBEN MASKIN, AB";"5569622946";" 0730412510";"Jobbmobil 40 GB MFA";"Ja";"20231107"
"STABBEN MASKIN, AB";"5569622946";" 0702890422";"Jobbmobil 3 GB Osub MFA";"Ja";"20210425"
"TEORI O PRAKTIK FFFF, AB";"5565236576";" 0707462290";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20221109"
"UTBILDA NORRBOM, AB";"5591108815";" 0706603302";"Jobbmobil Bas MFA";"Ja";"20210626"
"UTBILDA NORRBOM, AB";"5591108815";" 0706603389";"Jobbmobil Bas MFA";"Ja";"20210926"
"VAGNHÄRADS MASKINGRÄVNING,AB";"5564248267";" 0703788751";"Jobbmobil Multi 60 GB MFA";"Ja";"20210930"
"WENZO, AB";"5567917926";" 0733304270";"Jobbmobil Obegränsad MFA";"Nej";" "
"DEWETTE KONSULT, AB";"5590928882";" 0705738508";"Jobbmobil Multi 30 GB Osub";"Ja";"20220528"
"P.S.LINDSTRÖM KONSULT, AB";"5566947858";" 0705504870";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210903"
"P.S.LINDSTRÖM KONSULT, AB";"5566947858";" 0705676775";"Jobbmobil Multi 10 GB MFA";"Ja";"20201213"
"P.S.LINDSTRÖM KONSULT, AB";"5566947858";" 0705504870";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210903"
"P.S.LINDSTRÖM KONSULT, AB";"5566947858";" 0705676775";"Jobbmobil Multi 10 GB MFA";"Ja";"20201213"
"BRÄNNBYN ENTREPRENAD, AB";"5567208276";" 0738062179";"Jobbmobil Multi 60 GB MFA";"Ja";"20201218"
"GULLÖ MÅLERI, AB";"5591409239";" 0705128964";"Telia Jobbmobil Multi 30 GB";"Ja";"20210921"
"GÖRAN STIENGS SKOGSTJÄNST, AB";"5568790066";" 0702471468";"Telia Jobbmobil Multi 30 GB";"Ja";"20201221"
"HELENA HAUTALA REDOVISNING, AB";"5567180566";" 0706796655";"Jobbmobil Multi 30 GB MFA";"Ja";"20220914"
"IRNM TAXI SVERIGE, AB";"5591266209";" 0727254414";"Jobbmobil 40 GB";"Ja";"20220907"
"JABELLI, AB";"5565515227";" 0703280065";"Jobbmobil Multi 30 GB MFA";"Ja";"20220713"
"JABELLI, AB";"5565515227";" 0730928735";"Jobbmobil Multi 30 GB MFA";"Ja";"20220713"
"JABELLI, AB";"5565515227";" 0703280065";"Jobbmobil Multi 30 GB MFA";"Ja";"20220713"
"JIMMY'S INDUSTRI- OCH MASKINTEKNIK, AB";"5591755581";" 0738449624";"Jobbmobil Obegränsad Osub";"Ja";"20211230"
"JOHAN ÖHNELL, AB";"5569050726";" 0708515850";"Jobbmobil Obegränsad";"Ja";"20211023"
"KANTARELLVÄGEN VÄRDERINGAR, AB";"5568671597";" 0702247353";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220608"
"KANTARELLVÄGEN VÄRDERINGAR, AB";"5568671597";" 0702707889";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220608"
"KANTARELLVÄGEN VÄRDERINGAR, AB";"5568671597";" 0702247353";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220608"
"KARLSLUND MÅLERI, AB";"5568764657";" 0706393432";"Jobbmobil Obegränsad";"Ja";"20211031"
"KARLSLUND MÅLERI, AB";"5568764657";" 0706393432";"Jobbmobil Obegränsad";"Ja";"20211031"
"MEDIEHUSET/SVERIGE, AB";"5565094066";" 0708334032";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220214"
"MEDIEHUSET/SVERIGE, AB";"5565094066";" 0761296700";"Jobbmobil Multi 30 GB MFA Osub";"Nej";" "
"NA WALLIN BYGG I LINDESBERG, AB";"5591367023";" 0727313286";"Jobbmobil Multi 120 GB MFA";"Ja";"20210117"
"R HÖGLUND ENTREPRENAD, AB";"5566425699";" 0706877595";"Jobbmobil Multi 30 GB MFA";"Ja";"20210125"
"R HÖGLUND ENTREPRENAD, AB";"5566425699";" 0706877595";"Jobbmobil Multi 30 GB MFA";"Ja";"20210125"
"SVK INDUSTRISERVICE, AB";"5590712799";" 0703451407";"Telia Jobbmobil Multi 10 GB";"Ja";"20220531"
"TINGNERT KIROPRAKTIK, AB";"5590385406";" 0739139283";"Jobbmobil Multi 10 GB MFA";"Ja";"20210424"
"TINGNERT KIROPRAKTIK, AB";"5590385406";" 0702210392";"Jobbmobil Multi 10 GB MFA";"Ja";"20220203"
"BUDAB, AB";"5563432037";" 0702271244";"Telia Mobil Maxat 2 GB";"Nej";" "
"ESPERYD INVEST, AB";"5569616641";" 0705455245";"Jobbmobil Multi 10 GB MFA";"Ja";"20210821"
"ESPERYD INVEST, AB";"5569616641";" 0738137821";"Jobbmobil Multi 10 GB MFA";"Ja";"20201219"
"GRAFMANS GODA, AB";"5569791832";" 0706976207";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220204"
"GRAFMANS GODA, AB";"5569791832";" 0706976207";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220204"
"HK KARLSVIK, AB";"5590573001";" 0763151395";"Jobbmobil Multi 30 GB Osub";"Ja";"20220109"
"HVITTFELDT INVEST, AB";"5568358294";" 0705742247";"Jobbmobil Multi 10 GB MFA";"Ja";"20210328"
"HVITTFELDT INVEST, AB";"5568358294";" 0722330203";"Extrakort Fast";"Nej";" "
"HVITTFELDT INVEST, AB";"5568358294";" 0722430813";"Jobbmobil Multi 120GB MFA Osub";"Ja";"20210925"
"JENNSTIG CONSULTING, AB";"5569860470";" 0762015757";"Jobbmobil Multi 5 GB";"Nej";" "
"Kylteknikern ME, AB";"5566443239";" 0706352505";"Telia Jobbmobil Multi 60 GB";"Nej";" "
"L.M.W. ELEKTRONIK, AB";"5562537653";" 0706292299";"Jobbmobil Bas MFA";"Nej";" "
"MEAL MAKERS SWEDEN, AB";"5591731277";" 0765451139";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"N.M BUD, AB";"5591479158";" 0730717463";"Jobbmobil Obegränsad";"Ja";"20230716"
"NORRORTSKONSULT, AB";"5590173836";" 0703495547";"Jobbmobil Obegränsad";"Ja";"20221121"
"ROGER JANSSONS RÖR I SUNDSVALL, AB";"5563861995";" 0703346064";"Jobbmobil 40 GB MFA";"Ja";"20210223"
"SYCOMPANIET ANETTE SCHWARTZ, AB";"5568217045";" 0735305214";"Jobbmobil Multi 30 GB MFA";"Ja";"20210116"
"W-P CERTO BYGG, AB";"5590153309";" 0707659015";"Telia Jobbmobil Multi 120 GB";"Nej";" "
"W-P CERTO BYGG, AB";"5590153309";" 0707659015";"Telia Jobbmobil Multi 120 GB";"Nej";" "
"E-RIXON DATAKONSULT I SJÖMARKEN, AB";"5568780430";" 0706670208";"Jobbmobil Multi 10 GB Osub";"Ja";"20211011"
"ÅNÄSET IT SOLUTIONS, AB";"5569540601";" 0706688428";"Jobbmobil Bas";"Nej";" "
"ADVOKATFIRMAN BERTIL LUNDBERG, AB";"5563006377";" 0705262799";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"ALBIN TRANSPORT I MALMÖ, AB";"5569176935";" 0733609509";"Jobbmobil 15 GB";"Ja";"20230903"
"BILAFFÄREN I NYKÖPING, AB";"5565325734";" 0708269219";"Telia Jobbmobil Multi 10 GB";"Ja";"20210520"
"BILDMAKARNA BERG, AB";"5567182620";" 0768107755";"Jobbmobil Multi 10 GB MFA";"Ja";"20220225"
"CHAINSAW FURY, AB";"5591751606";" 0705931883";"Jobbmobil Multi 10 GB MFA";"Ja";"20220710"
"CHAINSAW FURY, AB";"5591751606";" 0706892995";"Jobbmobil Obegränsad MFA";"Ja";"20220710"
"EMIQUE FINANCE, AB";"5591499438";" 0703715473";"Jobbmobil Multi 2 GB MFA";"Ja";"20210324"
"ESSTE MILJÖKONSULT, AB";"5590489836";" 0706628787";"Jobbmobil 15 GB MFA";"Ja";"20231030"
"GRÄF ORGANISATIONSUTVECKLING, AB";"5564002821";" 0706254420";"Jobbmobil Multi 10 GB MFA";"Ja";"20220621"
"GRÄF ORGANISATIONSUTVECKLING, AB";"5564002821";" 0706254420";"Jobbmobil Multi 10 GB MFA";"Ja";"20220621"
"KRAN- OCH GRÄVCENTRALEN, AB";"5561765784";" 0706330080";"Jobbmobil Multi 120GB MFA Osub";"Ja";"20210404"
"KURT DANIELS ELKONSULT, AB";"5590410675";" 0705897300";"Jobbmobil Multi 30 GB MFA";"Ja";"20210312"
"KURT DANIELS ELKONSULT, AB";"5590410675";" 0703772666";"Jobbmobil Multi 30 GB MFA";"Ja";"20210312"
"LK OTTOSSON, AB";"5561675892";" 0706459504";"Jobbmobil Multi 10 GB MFA";"Ja";"20220205"
"LK OTTOSSON, AB";"5561675892";" 0706451393";"Jobbmobil Multi 30 GB MFA";"Ja";"20211106"
"LK OTTOSSON, AB";"5561675892";" 0736939566";"Jobbmobil Multi 10 GB MFA";"Ja";"20220204"
"LOGO GRANDE, AB";"5567776835";" 0702662800";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"LOGO GRANDE, AB";"5567776835";" 0727342525";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"LOGO GRANDE, AB";"5567776835";" 0702662800";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"LOGO GRANDE, AB";"5567776835";" 0727342525";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"NYAB MÄLARDALEN, AB";"5592029168";" 0702169790";"Jobbmobil Multi 30 GB";"Ja";"20211126"
"NYAB MÄLARDALEN, AB";"5592029168";" 0703020290";"Jobbmobil Multi 10 GB";"Ja";"20211201"
"NYAB MÄLARDALEN, AB";"5592029168";" 0705791183";"Jobbmobil Multi 30 GB";"Ja";"20211218"
"NYAB MÄLARDALEN, AB";"5592029168";" 0705791182";"Jobbmobil Multi 30 GB";"Ja";"20211218"
"NYAB MÄLARDALEN, AB";"5592029168";" 0736256424";"Jobbmobil Multi 10 GB";"Nej";" "
"NYAB MÄLARDALEN, AB";"5592029168";" 0705791180";"Jobbmobil Multi 10 GB";"Nej";" "
"NYAB MÄLARDALEN, AB";"5592029168";" 0725015010";"Jobbmobil Multi 30 GB";"Ja";"20221105"
"NYAB MÄLARDALEN, AB";"5592029168";" 0705791171";"Jobbmobil Multi 10 GB";"Ja";"20220608"
"NYAB MÄLARDALEN, AB";"5592029168";" 0705791194";"Jobbmobil Multi 10 GB";"Ja";"20220408"
"NYAB MÄLARDALEN, AB";"5592029168";" 0705791185";"Jobbmobil Multi 30 GB";"Nej";" "
"OLLE MELKERHED PRODUCTION, AB";"5568830904";" 0703488200";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"ROBIN JOHANSSONS TRANSPORT, AB";"5591652242";" 0768266063";"Telia Jobbmobil Multi 30 GB";"Ja";"20210703"
"SERANDER FASTIGHETSFÖRMEDLING, AB";"5567019996";" 0705505333";"Jobbmobil Multi 60 GB MFA";"Ja";"20221108"
"SERANDER FASTIGHETSFÖRMEDLING, AB";"5567019996";" 0705506696";"Jobbmobil Multi 10 GB MFA";"Ja";"20210603"
"SERANDER FASTIGHETSFÖRMEDLING, AB";"5567019996";" 0709740199";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"SOL BO, AB";"5590344379";" 0737058866";"Jobbmobil Obegränsad";"Ja";"20220303"
"VESTERSKOGEN, AB";"5590627252";" 0730240085";"Jobbmobil Multi 30 GB Osub";"Ja";"20220622"
"AG BYGGTJÄNST I BORLÄNGE, AB";"5567261838";" 0702024952";"Jobbmobil Obegränsad";"Ja";"20211015"
"DATERRA, AB";"5563627495";" 0705720853";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210211"
"B.H.E GOLVSERVICE, AB";"5568691454";" 0703940322";"Telia Jobbmobil Multi 30 GB";"Ja";"20210518"
"EKOTOPIA KOMMUNIKATION, AB";"5569858524";" 0701885019";"Telia Jobbmobil Multi 30 GB";"Ja";"20210307"
"GL SKOGSSERVICE, AB";"5569056939";" 0706652059";"Jobbmobil Multi 30 GB MFA";"Ja";"20210403"
"HAGMA TRADING, AB";"5564263654";" 0706256363";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220310"
"HENSGÅRDS TAXI, AB";"5563727766";" 0703228680";"Jobbmobil Multi 20 GB TFA";"Nej";" "
"IDRO MED, AB";"5564230026";" 0706870775";"Jobbmobil Multi TFA";"Nej";" "
"IDRO MED, AB";"5564230026";" 0706017091";"Jobbmobil Bas TFA";"Nej";" "
"JA TILL PSYKISK HÄLSA SVERIGE, AB";"5592178924";" 0703097567";"Jobbmobil Multi 30 GB MFA";"Ja";"20210109"
"JA TILL PSYKISK HÄLSA SVERIGE, AB";"5592178924";" 0703271056";"Jobbmobil Multi 30 GB MFA";"Ja";"20210927"
"JPS TRADING, AB";"5565990503";" 0730505604";"Jobbmobil Multi 10 GB MFA";"Ja";"20220207"
"SVENSKA ESSTEX, AB";"5567960645";" 0708264677";"Jobbmobil Multi 120 GB MFA";"Ja";"20210626"
"TILLARK, AB";"5591211502";" 0707222278";"Telia Jobbmobil Multi 2 GB";"Ja";"20210726"
"TVÅ A MEDIA, AB";"5591529648";" 0725464800";"Jobbmobil 25 GB Osub MFA";"Ja";"20220917"
"ÅC ENTREPRENAD, AB";"5591665541";" 0706454065";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"AM ÅKERI I ÖRKELLJUNGA, AB";"5566095427";" 0705586819";"Jobbmobil 1 GB Osub MFA";"Ja";"20220903"
"AM ÅKERI I ÖRKELLJUNGA, AB";"5566095427";" 0732034026";"Jobbmobil 1 GB Osub MFA";"Ja";"20220903"
"AM ÅKERI I ÖRKELLJUNGA, AB";"5566095427";" 0705586819";"Jobbmobil 1 GB Osub MFA";"Ja";"20220903"
"ALFREDSSONS ENTREPRENAD,, AB";"5563616464";" 0706300090";"Jobbmobil Multi 60 GB MFA";"Ja";"20210103"
"ALFREDSSONS ENTREPRENAD,, AB";"5563616464";" 0705910546";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20201210"
"ALFREDSSONS ENTREPRENAD,, AB";"5563616464";" 0706300090";"Jobbmobil Multi 60 GB MFA";"Ja";"20210103"
"ANDERS PLANS SCHAKT, AB";"5563741189";" 0702340792";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210429"
"CME REDOVISNING, AB";"5569071466";" 0725371231";"Telia Jobbmobil Multi 10 GB";"Ja";"20211004"
"D.O.Y., AB";"5562784941";" 0709360300";"Jobbmobil 40 GB MFA";"Ja";"20210221"
"D.O.Y., AB";"5562784941";" 0706982266";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210221"
"D.O.Y., AB";"5562784941";" 0708205515";"Jobbmobil Multi 30 GB MFA";"Ja";"20210517"
"GILLNER KONSULT, AB";"5569428351";" 0738430621";"Jobbmobil 15 GB";"Ja";"20220604"
"JASCON, AB";"5591775753";" 0723074556";"Jobbmobil Obegränsad Osub";"Ja";"20201228"
"LINDFELDT DEVELOPMENT, AB";"5591535058";" 0767948800";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"MH CONTRAC, AB";"5569599128";" 0708809206";"Jobbmobil Basic";"Nej";" "
"PERNILLA THOR CONSULTING, AB";"5591233670";" 0708144123";"Jobbmobil 25 GB";"Nej";" "
"RITA RAITIO KONSULT, AB";"5569909608";" 0703558028";"Jobbmobil Obegränsad";"Ja";"20221023"
"SOFIA GEIDEBY HAIR, AB";"5591143580";" 0706333235";"Jobbmobil Multi 30 GB MFA";"Ja";"20211121"
"TJ BYGGPROJEKTERING, AB";"5590813654";" 0708630090";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20211227"
"TRAFIKSKOLAN EVELINA, AB";"5591033039";" 0702149109";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20210913"
"TRAFIKSKOLAN EVELINA, AB";"5591033039";" 0768308676";"Jobbmobil Bas MFA";"Nej";" "
"VIOSAN, AB";"5564804499";" 0705390279";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"VIOSAN, AB";"5564804499";" 0705260295";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"VIOSAN, AB";"5564804499";" 0705390279";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"VIOSAN, AB";"5564804499";" 0705260295";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"YRKESMEDICINSKA LÄKARTJÄNSTER BD, AB";"5569010035";" 0706587263";"Jobbmobil Bas";"Nej";" "
"YRKESMEDICINSKA LÄKARTJÄNSTER BD, AB";"5569010035";" 0706587263";"Jobbmobil Bas";"Nej";" "
"A STENHOLM SKOGS- OCH BYGGTJÄNST, AB";"5563796415";" 0739209730";"Jobbmobil Multi 10 GB Osub";"Ja";"20211220"
"A STENHOLM SKOGS- OCH BYGGTJÄNST, AB";"5563796415";" 0739812191";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"ARVIKA BUDTJÄNST, AB";"5565504478";" 0706280809";"Jobbmobil 15 GB";"Ja";"20221111"
"ARVIKA BUDTJÄNST, AB";"5565504478";" 0706280809";"Jobbmobil 15 GB";"Ja";"20221111"
"ARVIKA BUDTJÄNST, AB";"5565504478";" 0702008662";"Jobbmobil 3 GB Osub";"Ja";"20221105"
"AXEL DANIELSSON KONSULT, AB";"5562730720";" 0707769955";"Jobbmobil 15 GB MFA";"Ja";"20210111"
"AXEL DANIELSSON KONSULT, AB";"5562730720";" 0705367287";"Jobbmobil Obegränsad Osub MFA";"Ja";"20220119"
"AXEL DANIELSSON KONSULT, AB";"5562730720";" 0705367287";"Jobbmobil Obegränsad Osub MFA";"Ja";"20220119"
"DAVIDS BYGG & MEK, AB";"5591611867";" 0706334789";"Jobbmobil 40 GB MFA";"Ja";"20210112"
"ELBES RADIO & TV I SKUTSKÄR, AB";"5562304021";" 0703670174";"Telia Jobbmobil Bas";"Nej";" "
"ELBES RADIO & TV I SKUTSKÄR, AB";"5562304021";" 0703670174";"Telia Jobbmobil Bas";"Nej";" "
"FABEN, AB";"5591446447";" 0703700082";"Jobbmobil Multi 30 GB MFA";"Ja";"20220501"
"FREDRIK LARSSON PHOTOGRAPHY, AB";"5569557092";" 0702293357";"Telia Jobbmobil Multi 10 GB";"Ja";"20201219"
"GSP BENSIN, AB";"5566295894";" 0706333952";"Jobbmobil Obegränsad";"Ja";"20230409"
"GSP BENSIN, AB";"5566295894";" 0706333952";"Jobbmobil Obegränsad";"Ja";"20230409"
"GREBDE, AB";"5567816979";" 0722035388";"Telia Jobbmobil Multi 2 GB";"Nej";" "
"HENSTRAND PROJECT MANAGEMENT, AB";"5592016850";" 0761001254";"Telia Jobbmobil Multi 10 GB";"Ja";"20210731"
"MOSSBERG BYGGSERVICE, AB";"5590364658";" 0706716997";"Telia Jobbmobil Multi 30 GB";"Ja";"20210528"
"NORDISK FARLIGT GODS KONSULT, AB";"5568056419";" 0705132569";"Jobbmobil Obegränsad MFA";"Ja";"20220629"
"PORT PARTNER SVERIGE, AB";"5566378609";" 0705668111";"Jobbmobil Obegränsad MFA";"Ja";"20220110"
"PORT PARTNER SVERIGE, AB";"5566378609";" 0703798442";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"SKEPPARUTBILDNING I KARLSTAD, AB";"5568964190";" 0705204949";"Jobbmobil Multi 30 GB MFA";"Ja";"20220107"
"SKEPPARUTBILDNING I KARLSTAD, AB";"5568964190";" 0705664949";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"VIRTUAL PP, AB";"5569591760";" 0701493443";"Telia Jobbmobil Multi 60 GB";"Ja";"20210310"
"HALMSTADS BOKBINDERI SERVICE, AB";"5564860046";" 0705889421";"Telia Jobbmobil Multi 2 GB";"Nej";" "
"HALMSTADS BOKBINDERI SERVICE, AB";"5564860046";" 0705889421";"Telia Jobbmobil Multi 2 GB";"Nej";" "
"BERTIL ÅKARE, AB";"5566757109";" 0705624712";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"BERTIL ÅKARE, AB";"5566757109";" 0705772570";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"BERTIL ÅKARE, AB";"5566757109";" 0705772570";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"EPICWATER, AB";"5568701436";" 0702720322";"Telia Jobbmobil Multi 10 GB";"Ja";"20211122"
"GGP UTVECKLINGS, AB";"5565232088";" 0705163600";"Jobbmobil Multi 120 GB MFA";"Ja";"20210316"
"GRUVHALLEN LIVS, AB";"5560079104";" 0702796007";"Jobbmobil Bas";"Nej";" "
"HSS SKOGSFÖRVALTNING, AB";"5591997365";" 0702121567";"Jobbmobil 15 GB";"Ja";"20220924"
"INDICINA TV, AB";"5590506944";" 0704140118";"Jobbmobil Multi 30 GB MFA";"Ja";"20211024"
"INDICINA TV, AB";"5590506944";" 0703474854";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"J BENGTSSON FASTIGHETSSERVICE, AB";"5567529713";" 0702387526";"Jobbmobil 40 GB";"Ja";"20210219"
"MAGNUS RAHM ENERGY CONSULTING, AB";"5591368393";" 0734144307";"Jobbmobil Multi 30 GB MFA";"Ja";"20220115"
"REDLIGHT MEDIA, AB";"5569581654";" 0739120727";"Jobbmobil 15 GB";"Nej";" "
"REDLIGHT MEDIA, AB";"5569581654";" 0736596967";"Jobbmobil 15 GB";"Nej";" "
"TRACKSYSTEMS SCANDINAVIA, AB";"5590843941";" 0706692736";"Jobbmobil 5 GB";"Nej";" "
"TRACKSYSTEMS SCANDINAVIA, AB";"5590843941";" 0761166675";"Jobbmobil 15 GB";"Nej";" "
"WÄSTGÖTA FINANS, AB";"5568875404";" 0761340285";"OE Bas";"Nej";" "
"WÄSTGÖTA FINANS, AB";"5568875404";" 0708117780";"Jobbmobil Multi 10 GB";"Nej";" "
"WÄSTGÖTA FINANS, AB";"5568875404";" 0722127094";"OE Multi 5 GB";"Nej";" "
"WÄSTGÖTA FINANS, AB";"5568875404";" 0730874508";"OE Bas";"Nej";" "
"A SMALL WORLD, AB";"5564249109";" 0706789189";"Telia Jobbmobil Multi 10 GB";"Ja";"20211125"
"ADWORK REKRYTERING, AB";"5568875669";" 0706404333";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"BÄCKSTRÖMS HATTAR, AB";"5560821877";" 0705555335";"Jobbmobil 3 GB Osub MFA";"Ja";"20210504"
"ENDA ENTREPRENAD STOCKHOLM, AB";"5568816630";" 0730860999";"Telia Jobbmobil Multi 30 GB";"Ja";"20210630"
