OrgNumber; PhoneNumber; Operator 
"5566986419"; "070-147 15 00"; "Telenor Sverige AB"
"5566832860"; "070-540 63 00"; "TeliaSonera AB"
"5566946678"; "013-473 13 00"; "AllTele Allmänna Svenska Telefonaktiebolaget"
"5566946678"; "013-473 12 00"; "AllTele Allmänna Svenska Telefonaktiebolaget"
"5566946678"; "013-13 58 85"; "AllTele Allmänna Svenska Telefonaktiebolaget"
"5561528281"; "070-848 43 66"; "Telenor Sverige AB"
"5566978697"; "070-748 82 10"; "Tele2 Sverige AB"
"5566978697"; "08-462 01 30"; "Telia Sverige AB"
"5566978697"; "08-644 83 70"; "Telia Sverige AB"
"5566978697"; "08-522 347 40"; "Tele2 Sverige AB"
"5566978697"; "08-522 347 49"; "Tele2 Sverige AB"
"5566978697"; "08-522 347 43"; "Tele2 Sverige AB"
"5566978697"; "08-522 347 41"; "Tele2 Sverige AB"
"5569677122"; "072-159 49 49"; "Telenor Sverige AB"
"5567758940"; "072-240 40 30"; "Telia Sverige AB"
"5567758940"; "023-507 37"; "Telia Sverige AB"
"5567758940"; "023-507 75"; "Telia Sverige AB"
"5590151972"; "073-351 44 27"; "HI3G Access AB"
"5567933816"; "070-175 43 24"; "HI3G Access AB"
"5566463831"; "054-15 15 17"; "Telia Sverige AB"
"5590373329"; "070-368 32 15"; "HI3G Access AB"
"5590373329"; "073-806 20 95"; "Telia Sverige AB"
"5590373329"; "073-806 21 51"; "Telia Sverige AB"
"5566791793"; "070-577 85 28"; "Tele2 Sverige AB"
"5566791793"; "019-32 04 30"; "Tele2 Sverige AB"
"5591834246"; "070-558 15 21"; "Telia Sverige AB"
"5591149025"; "0504-614 70"; "Telia Sverige AB"
"5591149025"; "0504-128 88"; "Telia Sverige AB"
"5591149025"; "0504-614 70"; "Telia Sverige AB"
"5566464094"; "070-730 70 57"; "HI3G Access AB"
"5566464094"; "070-730 70 57"; "HI3G Access AB"
"5567249379"; "090-13 00 02"; "AllTele Allmänna Svenska Telefonaktiebolaget"
"5567021224"; "070-992 48 86"; "Tele2 Sverige AB"
"5562265115"; "035-10 70 60"; "Telia Sverige AB"
"5567799936"; "070-342 26 75"; "Telia Sverige AB"
"5568533409"; "072-302 57 62"; "HI3G Access AB"
"5591005870"; "070-148 06 04"; "Telenor Sverige AB"
"5567175269"; "08-718 07 75"; "IP-Only Networks AB"
"5591488217"; "070-531 36 33"; "Telia Sverige AB"
"5591488217"; "073-432 24 40"; "TeliaSonera AB"
"5565025268"; "031-12 13 71"; "Telia Sverige AB"
"5567105878"; "0910-58 70 54"; "Telia Sverige AB"
"5567105878"; "076-326 70 49"; "HI3G Access AB"
"5567105878"; "08-668 75 02"; "Telia Sverige AB"
"5567105878"; "08-751 40 15"; "Telia Sverige AB"
"5567105878"; "08-550 345 65"; "Telia Sverige AB"
"5567105878"; "08-550 806 95"; "Telia Sverige AB"
"5567105878"; "08-22 93 01"; "Telia Sverige AB"
"5567105878"; "08-632 09 02"; "Telia Sverige AB"
"5567105878"; "08-20 02 19"; "Telia Sverige AB"
"5567105878"; "020-10 00 24"; "TeliaSonera AB"
"5566814413"; "073-506 90 64"; "Tele2 Sverige AB"
"5566087341"; "0155-28 61 00"; "HI3G Access AB (fix)"
"5568290976"; "070-249 69 60"; "Telia Sverige AB"
"5568290976"; "070-915 20 90"; "TeliaSonera AB"
"5568290976"; "08-406 08 60"; "Telia Sverige AB"
"5567695373"; "019-10 73 37"; "Telia Sverige AB"
"5591768766"; "073-998 29 91"; "Tele2 Sverige AB"
"5591768766"; "073-976 56 78"; "Tele2 Sverige AB"
"5591768766"; "08-740 14 32"; "Tele2 Sverige AB"
"5591768766"; "08-531 722 51"; "Com Hem AB"
"5591768766"; "076-054 44 40"; "Tele2 Sverige AB"
"5568690118"; "076-772 79 01"; "Telia Sverige AB"
"5568690118"; "042-15 88 90"; "Telia Sverige AB"
"5569010415"; "073-346 30 71"; "Telenor Sverige AB"
"5569010415"; "073-346 30 10"; "Telenor Sverige AB"
"5567420020"; "073-916 57 47"; "Tele2 Sverige AB"
"5567420020"; "08-559 223 75"; "Tele2 Sverige AB"
"5565137113"; "070-530 20 40"; "Telia Sverige AB"
"5566778204"; "070-973 98 69"; "Telenor Sverige AB"
"5566778204"; "013-12 10 00"; "Telenor Sverige AB"
"5566778204"; "013-16 38 92"; "Telenor Sverige AB"
"5567673321"; "073-679 98 01"; "Tele2 Sverige AB"
"5567673321"; "073-679 98 01"; "Tele2 Sverige AB"
"5568812977"; "072-559 86 98"; "Telia Sverige AB"
"5568812977"; "070-251 46 36"; "Telia Sverige AB"
"5568812977"; "070-288 75 35"; "Telia Sverige AB"
"5568812977"; "033-10 46 36"; "Telia Sverige AB"
"5568277593"; "070-322 03 67"; "Telenor Sverige AB"
"5568750433"; "073-925 52 92"; "Tele2 Sverige AB"
"5569674244"; "070-998 20 35"; "TeliaSonera AB"
"5561264952"; "070-627 30 97"; "Telia Sverige AB"
"5561264952"; "070-018 54 37"; "Tele2 Sverige AB"
"5561264952"; "031-21 58 91"; "Telia Sverige AB"
"5568571086"; "0243-24 93 00"; "Cellip AB"
"5568571086"; "031-28 40 57"; "Cellip AB"
"5568571086"; "031-28 40 57"; "Cellip AB"
"5590415559"; "073-096 36 02"; "Telia Sverige AB"
"5568420649"; "072-502 48 99"; "Telia Sverige AB"
"5568420649"; "072-502 49 93"; "Telia Sverige AB"
"5569423568"; "0410-35 50 20"; "Telenor Sverige AB"
"5591103659"; "073-812 82 20"; "Telia Sverige AB"
"5591566277"; "070-911 98 80"; "HI3G Access AB"
"5563226520"; "08-712 38 02"; "Tele2 Sverige AB"
"5591287346"; "072-215 37 15"; "TeliaSonera AB"
"5562808435"; "013-31 27 66"; "Telia Sverige AB"
"5562808435"; "013-31 03 58"; "Telia Sverige AB"
"5568444797"; "070-733 82 02"; "TeliaSonera AB"
"5568908874"; "076-187 45 45"; "HI3G Access AB"
"5568908874"; "021-12 10 00"; "HI3G Access AB (fix)"
"5568908874"; "021-12 10 00"; "HI3G Access AB (fix)"
"5568892334"; "070-597 93 23"; "Telia Sverige AB"
"5590382106"; "072-728 90 78"; "Telia Sverige AB"
"5566407713"; "070-724 05 27"; "Tele2 Sverige AB"
"5566407713"; "070-858 36 00"; "Tele2 Sverige AB"
"5566407713"; "073-663 64 08"; "Tele2 Sverige AB"
"5568712391"; "070-629 04 79"; "HI3G Access AB"
"5566442827"; "070-229 24 63"; "Tele2 Sverige AB"
"5566442827"; "016-12 65 50"; "Tele2 Sverige AB"
"5565260535"; "073-522 41 95"; "TeliaSonera AB"
"5565596136"; "070-880 82 00"; "HI3G Access AB"
"5565596136"; "070-880 82 00"; "HI3G Access AB"
"5569209264"; "073-376 65 15"; "TeliaSonera AB"
"5562159318"; "070-256 29 57"; "Telia Sverige AB"
"5562159318"; "070-741 84 10"; "Tele2 Sverige AB"
"5567685655"; "070-312 61 41"; "Telenor Sverige AB"
"5563831519"; "070-674 63 93"; "SwedfoneNet AB"
"5563831519"; "0370-463 43"; "Telia Sverige AB"
"5563831519"; "070-674 63 93"; "SwedfoneNet AB"
"5563831519"; "0370-463 43"; "Telia Sverige AB"
"5591933568"; "072-080 24 25"; "Tele2 Sverige AB"
"5590223342"; "073-736 07 77"; "Tele2 Sverige AB"
"5590223342"; "073-736 07 77"; "Tele2 Sverige AB"
"5590223342"; "08-703 25 77"; "Tele2 Sverige AB"
"5568990849"; "070-996 49 08"; "TeliaSonera AB"
"5566253190"; "08-500 201 15"; "Telenor Sverige AB"
"5566253190"; "08-745 04 50"; "Telenor Sverige AB"
"5566253190"; "08-500 207 70"; "Telia Sverige AB"
"5566253190"; "08-500 269 00"; "Swefour AB"
"5566253190"; "08-777 22 16"; "Telia Sverige AB"
"5568811011"; "073-713 68 81"; "Tell it to Mi AB"
"5568811011"; "073-032 66 60"; "Tell it to Mi AB"
"5568811011"; "033-799 14 95"; "Advoco Software AB"
"5568811011"; "033-799 14 97"; "Advoco Software AB"
"5568811011"; "033-799 14 96"; "Advoco Software AB"
"5568811011"; "033-12 96 58"; "Telia Sverige AB"
"5568811011"; "033-10 13 30"; "Telia Sverige AB"
"5561685487"; "0251-500 32"; "Telia Sverige AB"
"5561685487"; "0251-502 37"; "Telenabler AB"
"5590664248"; "073-518 20 00"; "HI3G Access AB"
"5590664248"; "073-518 20 23"; "HI3G Access AB"
"5566473343"; "070-508 91 34"; "Telia Sverige AB"
"5566473343"; "070-508 92 41"; "Telia Sverige AB"
"5566473343"; "070-576 74 17"; "TeliaSonera AB"
"5566473343"; "073-534 50 02"; "TeliaSonera AB"
"5566473343"; "070-508 92 90"; "TeliaSonera AB"
"5568256274"; "073-985 24 75"; "Tele2 Sverige AB"
"5591784888"; "073-544 91 72"; "HI3G Access AB"
"5591784888"; "073-527 23 37"; "HI3G Access AB"
"5563999118"; "070-587 16 13"; "TeliaSonera AB"
"5563999118"; "070-622 76 76"; "TeliaSonera AB"
"5563999118"; "070-587 16 13"; "TeliaSonera AB"
"5569622946"; "073-041 25 10"; "Telia Sverige AB"
"5569622946"; "070-289 04 22"; "Telia Sverige AB"
"5565236576"; "070-746 22 90"; "TeliaSonera AB"
"5591108815"; "070-660 33 02"; "Telia Sverige AB"
"5591108815"; "070-660 33 89"; "Telia Sverige AB"
"5564248267"; "070-378 87 51"; "Telia Sverige AB"
"5564248267"; "0156-260 11"; "Telia Sverige AB"
"5567917926"; "073-330 42 70"; "TeliaSonera AB"
"5561003533"; "0515-597 10"; "Telia Sverige AB"
"5561003533"; "010-474 11 00"; "Telenor Sverige AB"
"5561003533"; "0511-34 59 01"; "TeliaSonera AB"
"5561003533"; "0510-860 10"; "Weblink IP Phone AB"
"5590928882"; "070-573 85 08"; "TeliaSonera AB"
"5566947858"; "070-550 48 70"; "Telia Sverige AB"
"5566947858"; "070-567 67 75"; "Telia Sverige AB"
"5566278072"; "0433-625 12"; "Telia Sverige AB"
"5566278072"; "0433-140 18"; "Telia Sverige AB"
"5566278072"; "0433-140 18"; "Telia Sverige AB"
"5566947858"; "070-550 48 70"; "Telia Sverige AB"
"5566947858"; "070-567 67 75"; "Telia Sverige AB"
"5566278072"; "0433-625 12"; "Telia Sverige AB"
"5566278072"; "0433-140 18"; "Telia Sverige AB"
"5566278072"; "0433-140 18"; "Telia Sverige AB"
"5569446312"; "070-331 30 60"; "Tele2 Sverige AB"
"5569446312"; "021-12 07 09"; "Tele2 Sverige AB"
"5591561039"; "073-771 11 59"; "Telenor Sverige AB"
"5591561039"; "072-399 18 00"; "Telenor Sverige AB"
"5591281695"; "073-500 05 89"; "Telenor Sverige AB"
"5591281695"; "073-500 05 89"; "Telenor Sverige AB"
"5563756013"; "070-766 17 82"; "HI3G Access AB"
"5567208276"; "073-806 21 79"; "Telia Sverige AB"
"5568689359"; "076-322 27 55"; "Tele2 Sverige AB"
"5568689359"; "076-322 27 55"; "Tele2 Sverige AB"
"5591321004"; "073-614 82 86"; "Tele2 Sverige AB"
"5591321004"; "070-028 37 28"; "Tele2 Sverige AB"
"5591321004"; "073-939 03 12"; "Tele2 Sverige AB"
"5591321004"; "073-939 03 12"; "Tele2 Sverige AB"
"5591321004"; "040-30 43 30"; "Tele2 Sverige AB"
"5568838980"; "070-454 80 08"; "Tele2 Sverige AB"
"5568838980"; "070-454 80 08"; "Tele2 Sverige AB"
"5591333074"; "070-855 99 91"; "Tele2 Sverige AB"
"5591333074"; "070-855 99 82"; "Tele2 Sverige AB"
"5591333074"; "070-855 34 84"; "Tele2 Sverige AB"
"5591333074"; "070-855 24 46"; "Tele2 Sverige AB"
"5591333074"; "070-855 30 61"; "Tele2 Sverige AB"
"5591333074"; "070-855 42 55"; "Tele2 Sverige AB"
"5591333074"; "070-855 23 96"; "Tele2 Sverige AB"
"5591333074"; "070-855 30 96"; "Tele2 Sverige AB"
"5566666052"; "073-314 41 36"; "Telenor Sverige AB"
"5591276935"; "072-015 88 38"; "Tele2 Sverige AB"
"5591276935"; "031-389 06 00"; "Tele2 Sverige AB"
"5591409239"; "070-512 89 64"; "TeliaSonera AB"
"5565158796"; "08-761 45 20"; "Telia Sverige AB"
"5568790066"; "070-247 14 68"; "Telia Sverige AB"
"5568790066"; "070-308 02 15"; "Tele2 Sverige AB"
"5568973696"; "070-532 94 05"; "Telenor Sverige AB"
"5590439930"; "076-195 52 65"; "HI3G Access AB"
"5590439930"; "076-049 05 46"; "HI3G Access AB"
"5590439930"; "042-12 41 51"; "HI3G Access AB (fix)"
"5567180566"; "070-679 66 55"; "Telia Sverige AB"
"5591266209"; "072-725 44 14"; "Telia Sverige AB"
"5565515227"; "060-383 49"; "AllTele Allmänna Svenska Telefonaktiebolaget"
"5565515227"; "070-328 00 65"; "Telia Sverige AB"
"5565515227"; "073-092 87 35"; "Telia Sverige AB"
"5565515227"; "070-328 00 65"; "Telia Sverige AB"
"5591755581"; "073-844 96 24"; "TeliaSonera AB"
"5569050726"; "070-851 58 50"; "TeliaSonera AB"
"5566311535"; "073-340 39 32"; "Telenor Sverige AB"
"5566311535"; "070-816 76 28"; "Telenor Sverige AB"
"5566311535"; "08-640 90 10"; "Telia Sverige AB"
"5568671597"; "070-224 73 53"; "Telia Sverige AB"
"5568671597"; "070-270 78 89"; "TeliaSonera AB"
"5568671597"; "0660-105 50"; "Telia Sverige AB"
"5568671597"; "070-224 73 53"; "Telia Sverige AB"
"5568764657"; "070-639 34 32"; "TeliaSonera AB"
"5568764657"; "070-639 34 32"; "TeliaSonera AB"
"5567732119"; "073-340 90 74"; "Tele2 Sverige AB"
"5567732119"; "073-939 83 14"; "Tele2 Sverige AB"
"5590289061"; "073-750 00 05"; "Tele2 Sverige AB"
"5590289061"; "070-524 21 61"; "Tele2 Sverige AB"
"5590289061"; "0340-191 50"; "Tele2 Sverige AB"
"5590289061"; "070-524 21 61"; "Tele2 Sverige AB"
"5567895932"; "018-410 80 96"; "TelaVox AB"
"5567895932"; "018-12 50 10"; "Qall Telecom AB"
"5565094066"; "070-833 40 32"; "TeliaSonera AB"
"5565094066"; "076-129 67 00"; "Telia Sverige AB"
"5591166151"; "073-578 90 33"; "Tele2 Sverige AB"
"5591166151"; "070-940 92 90"; "Tele2 Sverige AB"
"5591166151"; "076-069 48 35"; "Tele2 Sverige AB"
"5591166151"; "072-001 95 02"; "Tele2 Sverige AB"
"5591367023"; "072-731 32 86"; "Telia Sverige AB"
"5567945729"; "070-862 82 61"; "Telenor Sverige AB"
"5564271616"; "070-560 08 43"; "Tele2 Sverige AB"
"5564271616"; "070-661 90 41"; "Tele2 Sverige AB"
"5561501338"; "070-540 40 60"; "Tele2 Sverige AB"
"5561501338"; "070-465 46 05"; "Tele2 Sverige AB"
"5561501338"; "08-644 87 18"; "Tele2 Sverige AB"
"5566425699"; "070-687 75 95"; "TeliaSonera AB"
"5566425699"; "070-687 75 95"; "TeliaSonera AB"
"5569413163"; "0660-60 00 30"; "TelaVox AB"
"5569413163"; "0660-60 00 31"; "TelaVox AB"
"5569413163"; "0660-60 00 32"; "TelaVox AB"
"5590712799"; "070-345 14 07"; "TeliaSonera AB"
"5592087562"; "072-323 32 14"; "HI3G Access AB"
"5568559529"; "070-817 38 80"; "Telenor Sverige AB"
"5568559529"; "070-817 38 80"; "Telenor Sverige AB"
"5591128219"; "072-158 40 38"; "Telenor Sverige AB"
"5591128219"; "073-239 62 11"; "Telenor Sverige AB"
"5591128219"; "076-337 73 81"; "HI3G Access AB"
"5591128219"; "076-315 97 89"; "HI3G Access AB"
"5591128219"; "076-315 36 94"; "HI3G Access AB"
"5591128219"; "073-505 50 77"; "HI3G Access AB"
"5591128219"; "010-206 50 30"; "Telenor Sverige AB"
"5590619366"; "070-146 64 62"; "Telenor Sverige AB"
"5590385406"; "073-913 92 83"; "TeliaSonera AB"
"5590385406"; "070-553 35 82"; "Telia Sverige AB"
"5590385406"; "070-221 03 92"; "Telia Sverige AB"
"5590385406"; "070-553 35 82"; "Telia Sverige AB"
"5590577754"; "070-264 31 53"; "HI3G Access AB"
"5591055081"; "070-796 16 00"; "Tele2 Sverige AB"
"5591055081"; "070-796 16 00"; "Tele2 Sverige AB"
"5564635331"; "031-13 45 99"; "Telia Sverige AB"
"5564635331"; "031-13 19 08"; "Telia Sverige AB"
"5566833645"; "0372-305 15"; "Telia Sverige AB"
"5569321150"; "070-772 77 76"; "HI3G Access AB"
"5590965579"; "054-15 15 83"; "Telenor Sverige AB"
"5563432037"; "070-227 12 44"; "Telia Sverige AB"
"5563560415"; "070-829 98 75"; "HI3G Access AB"
"5563560415"; "070-829 98 75"; "HI3G Access AB"
"5563560415"; "0322-490 00"; "HI3G Access AB (fix)"
"5569602989"; "070-180 81 80"; "HI3G Access AB"
"5563248300"; "070-771 53 00"; "Tele2 Sverige AB"
"5563335594"; "070-828 06 60"; "Telenor Sverige AB"
"5563335594"; "076-854 28 80"; "Telenor Sverige AB"
"5563335594"; "0340-851 90"; "Telia Sverige AB"
"5569616641"; "070-545 52 45"; "TeliaSonera AB"
"5569616641"; "073-813 78 21"; "Telia Sverige AB"
"5591878987"; "073-733 22 78"; "HI3G Access AB"
"5564015609"; "070-638 04 20"; "Tele2 Sverige AB"
"5567549794"; "073-572 44 71"; "HI3G Access AB"
"5567549794"; "073-856 33 21"; "HI3G Access AB"
"5567549794"; "0470-205 43"; "Tele2 Sverige AB"
"5569562209"; "046-71 30 80"; "Bahnhof AB"
"5591448625"; "073-694 44 53"; "Tele2 Sverige AB"
"5569791832"; "070-697 62 07"; "Telia Sverige AB"
"5569791832"; "070-697 62 07"; "Telia Sverige AB"
"5562043249"; "070-496 10 56"; "Tele2 Sverige AB"
"5590573001"; "076-315 13 95"; "TeliaSonera AB"
"5569520298"; "0158-201 75"; "Telia Sverige AB"
"5569520298"; "0158-201 87"; "Telia Sverige AB"
"5569642787"; "0522-103 00"; "Telia Sverige AB"
"5568358294"; "070-574 22 47"; "Telia Sverige AB"
"5568358294"; "072-233 02 03"; "Telia Sverige AB"
"5568358294"; "072-243 08 13"; "Telia Sverige AB"
"5590349485"; "070-469 44 35"; "Telenor Sverige AB"
"5568015761"; "08-22 58 28"; "Telia Sverige AB"
"5565361978"; "031-707 00 10"; "Telia Sverige AB"
"5565361978"; "070-826 36 77"; "Telenor Sverige AB"
"5569860470"; "076-201 57 57"; "TeliaSonera AB"
"5562106400"; "073-324 04 07"; "Tele2 Sverige AB"
"5562106400"; "040-39 39 32"; "Teletek 5060 AB"
"5562106400"; "040-39 39 31"; "Teletek 5060 AB"
"5562106400"; "040-796 41"; "Telia Sverige AB"
"5562106400"; "040-796 39"; "Telia Sverige AB"
"5566443239"; "070-635 25 05"; "TeliaSonera AB"
"5590480264"; "073-647 73 16"; "Tele2 Sverige AB"
"5562537653"; "070-629 22 99"; "TeliaSonera AB"
"5563524643"; "0281-100 25"; "Telia Sverige AB"
"5563524643"; "0281-100 00"; "Telia Sverige AB"
"5591731277"; "076-545 11 39"; "TeliaSonera AB"
"5591731277"; "076-338 11 01"; "HI3G Access AB"
"5591731277"; "072-210 38 85"; "HI3G Access AB"
"5566269899"; "070-844 07 31"; "Telenor Sverige AB"
"5560897653"; "060-17 49 19"; "Telia Sverige AB"
"5560897653"; "090-610 93"; "Telia Sverige AB"
"5560897653"; "060-61 25 89"; "Telia Sverige AB"
"5563945079"; "070-527 15 24"; "Telenor Sverige AB"
"5563945079"; "031-27 15 25"; "Telenor Sverige AB"
"5563945079"; "070-527 15 24"; "Telenor Sverige AB"
"5591479158"; "070-416 84 98"; "Tele2 Sverige AB"
"5591479158"; "073-558 97 53"; "Tele2 Sverige AB"
"5591479158"; "073-612 74 78"; "Tele2 Sverige AB"
"5591479158"; "073-788 02 64"; "Tele2 Sverige AB"
"5591479158"; "073-639 59 67"; "Tele2 Sverige AB"
"5591479158"; "073-920 46 39"; "Tele2 Sverige AB"
"5591479158"; "073-919 73 57"; "Tele2 Sverige AB"
"5591479158"; "070-893 75 78"; "Telenor Sverige AB"
"5591479158"; "073-071 74 63"; "Telia Sverige AB"
"5591226484"; "070-606 25 58"; "Tele2 Sverige AB"
"5590173836"; "070-349 55 47"; "TeliaSonera AB"
"5567972442"; "070-799 06 08"; "HI3G Access AB"
"5569673683"; "070-461 92 91"; "HI3G Access AB"
"5568933237"; "0340-62 62 65"; "Telia Sverige AB"
"5566702543"; "031-53 20 88"; "Com Hem AB"
"5563861995"; "070-334 60 64"; "Telia Sverige AB"
"5566722228"; "08-532 571 44"; "Telia Sverige AB"
"5568303506"; "070-485 08 69"; "Tele2 Sverige AB"
"5568303506"; "070-491 08 72"; "Tele2 Sverige AB"
"5568303506"; "070-880 46 43"; "Telenor Sverige AB"
"5568303506"; "070-880 35 54"; "Telenor Sverige AB"
"5568303506"; "019-611 64 88"; "Telia Sverige AB"
"5568303506"; "072-545 82 82"; "Telia Sverige AB"
"5591716567"; "076-303 07 79"; "HI3G Access AB"
"5568217045"; "073-530 52 14"; "TeliaSonera AB"
"5568830375"; "070-653 22 16"; "HI3G Access AB"
"5591654503"; "070-255 67 87"; "HI3G Access AB"
"5565801783"; "0247-403 12"; "Telia Sverige AB"
"5565801783"; "070-631 44 78"; "Telia Sverige AB"
"5591473300"; "070-861 19 72"; "Telenor Sverige AB"
"5591473300"; "070-939 30 77"; "Tele2 Sverige AB"
"5591473300"; "070-923 78 14"; "Tele2 Sverige AB"
"5591473300"; "070-956 27 23"; "Tele2 Sverige AB"
"5591473300"; "070-140 81 00"; "Tele2 Sverige AB"
"5590153309"; "070-765 90 15"; "TeliaSonera AB"
"5590153309"; "070-765 90 15"; "TeliaSonera AB"
"5568780430"; "070-667 02 08"; "TeliaSonera AB"
"5569540601"; "070-668 84 28"; "Telia Sverige AB"
"5590601075"; "073-193 68 47"; "Vectone Mobile Sweden Ltd"
"5565874699"; "042-996 35"; "Internetport Sweden AB"
"5569966269"; "070-525 95 03"; "Telia Sverige AB"
"5563006377"; "070-526 27 99"; "Telia Sverige AB"
"5563006377"; "031-26 27 99"; "Telia Sverige AB"
"5567426266"; "070-759 36 36"; "Tele2 Sverige AB"
"5567426266"; "070-605 39 12"; "Tele2 Sverige AB"
"5567426266"; "0224-180 75"; "Telia Sverige AB"
"5567426266"; "070-605 39 12"; "Tele2 Sverige AB"
"5569176935"; "073-360 95 09"; "TeliaSonera AB"
"5568862832"; "076-197 49 77"; "HI3G Access AB"
"5568862832"; "076-040 31 17"; "HI3G Access AB"
"5568862832"; "031-44 18 00"; "HI3G Access AB (fix)"
"5567399489"; "0498-49 30 73"; "Telia Sverige AB"
"5567399489"; "070-868 44 11"; "Tele2 Sverige AB"
"5560482308"; "08-27 20 02"; "Telia Sverige AB"
"5569186702"; "013-13 52 40"; "Tele2 Sverige AB"
"5566114020"; "070-984 82 19"; "Telenor Sverige AB"
"5566114020"; "0322-63 54 43"; "Telenor Sverige AB"
"5565325734"; "070-826 92 19"; "TeliaSonera AB"
"5565325734"; "0155-29 69 98"; "TelaVox AB"
"5565325734"; "0155-320 90"; "TelaVox AB"
"5567182620"; "076-810 77 55"; "Telia Sverige AB"
"5567182620"; "08-755 47 04"; "Telia Sverige AB"
"5564409992"; "0498-21 22 36"; "Telia Sverige AB"
"5591751606"; "070-593 18 83"; "Telia Sverige AB"
"5591751606"; "070-689 29 95"; "Telia Sverige AB"
"5591808513"; "070-729 35 21"; "Tele2 Sverige AB"
"5591808513"; "08-33 32 95"; "Tele2 Sverige AB"
"5568217888"; "070-265 62 22"; "Tele2 Sverige AB"
"5568217888"; "0950-165 10"; "Telia Sverige AB"
"5591499438"; "070-371 54 73"; "Telia Sverige AB"
"5591499438"; "070-732 52 08"; "HI3G Access AB"
"5591660872"; "046-211 94 94"; "Telenor Sverige AB"
"5591308548"; "073-939 91 00"; "Tele2 Sverige AB"
"5590489836"; "070-662 87 87"; "Telia Sverige AB"
"5563882595"; "070-798 41 02"; "HI3G Access AB"
"5563882595"; "070-789 09 72"; "HI3G Access AB"
"5563882595"; "070-962 46 44"; "HI3G Access AB"
"5591637599"; "070-738 01 01"; "HI3G Access AB"
"5568835978"; "070-799 24 29"; "Telenor Sverige AB"
"5564885639"; "0304-67 12 90"; "Telia Sverige AB"
"5564002821"; "0250-59 30 72"; "Telia Sverige AB"
"5564002821"; "070-625 44 20"; "Telia Sverige AB"
"5564002821"; "070-625 44 20"; "Telia Sverige AB"
"5568936925"; "073-340 22 80"; "Tele2 Sverige AB"
"5590898747"; "08-33 28 25"; "Telia Sverige AB"
"5568967318"; "073-788 81 23"; "HI3G Access AB"
"5568967318"; "076-473 02 59"; "TeliaSonera AB"
"5567984850"; "070-677 98 98"; "Telia Sverige AB"
"5561765784"; "070-633 00 80"; "Telia Sverige AB"
"5561765784"; "031-331 07 11"; "Telia Sverige AB"
"5590410675"; "070-589 73 00"; "Telia Sverige AB"
"5590410675"; "070-377 26 66"; "Telia Sverige AB"
